ID,Description,setSize,enrichmentScore,NES,pvalue,adjusted_pvalue,qvalue,leading_edge,core_enrichment
GO:0023052,signaling,342,0.388402350233588,1.22194294055445,0.0178982101789821,0.177707300495022,0.158773146527003,"tags=46%, list=40%, signal=44%",Cxcl1/Cxcl5/Cxcl2/Ubd/Nos2/Cxcl10/Ccl5/Ccl2/Lcn2/Icosl/C3/Tlr2/Nfkbiz/Ccl20/Traf1/Zc3h12a/Tslp/Cx3cl1/Bcl3/Tnfaip3/Chil1/Egr3/Nfkbia/Vcam1/Ripk2/Lif/Pdgfb/Sez6/Cxcl9/Rnd1/Lbp/Hcar2/Stx11/Madcam1/Bmp3/Csf3/Saa3/Nlrp3/Ifitm1/Iigp1/Parp14/Ccl7/Icam1/Irf1/Nfkbid/Ptgir/Ccrl2/Cd74/Pik3r5/Areg/Csf1/Relb/Ereg/Cyp7b1/Cxcl11/Il23a/Oasl2/Il13ra1/Casp1/Birc3/Cd274/Plau/Bmp2/Spata13/Nod2/Map3k8/Bid/Rasgef1a/Ms4a7/Casp4/Tnfsf10/Il15/Rsad2/Rgs16/Rims2/Nfkb1/Dtx3l/Ier3/Prokr2/Mylk2/Cish/Zbp1/Dact2/Lpar3/Psd/Tnip1/Mmp9/Isg15/Ccl9/Trim21/Plscr1/Socs3/Arap3/Osmr/Fam83c/Ddx60/Selp/Errfi1/Gpr68/Fas/Vipr1/Nfkb2/Camkk2/Parp9/Ikbke/Was/Acpp/Dock10/Ptgs2os/Ppfia3/Tnfrsf1b/Pdlim4/Efna2/Ifi204/Dtx4/Tyk2/Igtp/Slc15a3/Mapk11/Plxnd1/Fgf7/Hivep1/Coro1a/Irf5/Tmem100/Il18rap/Zfp36/Stk17b/Syt7/Cd36/Sema4b/Rhbdf2/Nrg1/Arhgef3/Prr5l/Zfp36l1/Rassf9/Gadd45b/Pim1/Mcc/Il27ra/Rnf213/Nfkbib/Gdnf/Nrp2/Olfml2a/Jak2/Plscr2/Ccl8/Nptx1/Pxn/Lpar4/Socs2/Hivep2/Ptgs2/Rac2/Irgm1
GO:0051170,import into nucleus,16,0.620708995378465,1.54122539238314,0.0182177348551361,0.179854974419686,0.160691992549553,"tags=25%, list=6%, signal=24%",Gbp4/Zc3h12a/Bcl3/Nfkbia
GO:0006606,protein import into nucleus,16,0.620708995378465,1.54122539238314,0.0182177348551361,0.179854974419686,0.160691992549553,"tags=25%, list=6%, signal=24%",Gbp4/Zc3h12a/Bcl3/Nfkbia
GO:0033212,iron import into cell,3,0.869634300266411,1.47362787863612,0.0184345281638625,0.180969945495946,0.161688166964285,"tags=67%, list=2%, signal=65%",Steap4/Lcn2
GO:0006879,cellular iron ion homeostasis,3,0.869634300266411,1.47362787863612,0.0184345281638625,0.180969945495946,0.161688166964285,"tags=67%, list=2%, signal=65%",Steap4/Lcn2
GO:0032651,regulation of interleukin-1 beta production,20,0.590997818058327,1.52388309392037,0.0188356164383562,0.183357886278411,0.163821680166591,"tags=50%, list=19%, signal=42%",Gbp5/Tlr2/Zc3h12a/Tnfaip3/Ripk2/Nlrp3/Casp1/Nod2/Ifi205/Casp4
GO:0051223,regulation of protein transport,26,0.558510952769867,1.49795447205117,0.0188205771643664,0.183357886278411,0.163821680166591,"tags=27%, list=8%, signal=26%",Nos2/Gbp4/Ccl5/Ccl2/Tlr2/Zc3h12a/Hcar2
GO:0070201,regulation of establishment of protein localization,26,0.558510952769867,1.49795447205117,0.0188205771643664,0.183357886278411,0.163821680166591,"tags=27%, list=8%, signal=26%",Nos2/Gbp4/Ccl5/Ccl2/Tlr2/Zc3h12a/Hcar2
GO:0051924,regulation of calcium ion transport,20,0.589623202152583,1.52033865792519,0.0195847602739726,0.188105779726384,0.168063700500081,"tags=35%, list=11%, signal=32%",Cxcl10/Ccl5/Ccl2/Cx3cl1/Pdgfb/Cxcl9/Icam1
GO:0002028,regulation of sodium ion transport,6,0.757363590963766,1.51976528645265,0.0195402298850575,0.188105779726384,0.168063700500081,"tags=17%, list=0%, signal=17%",Cxcl1
GO:0002708,positive regulation of lymphocyte mediated immunity,21,0.581866157490029,1.51394507838436,0.0195932275583005,0.188105779726384,0.168063700500081,"tags=52%, list=20%, signal=43%",C3/H2-M2/H2-Q10/Nlrp3/H2-Q1/Il23a/H2-Q6/H2-Q4/H2-Q7/Nod2/Rsad2
GO:0071425,hematopoietic stem cell proliferation,4,0.827281452121269,1.50052566745635,0.0195182724252492,0.188105779726384,0.168063700500081,"tags=25%, list=0%, signal=25%",Cxcl1
GO:0006812,cation transport,56,0.484017164370568,1.41006756222887,0.0194399677679291,0.188105779726384,0.168063700500081,"tags=23%, list=11%, signal=22%",Cxcl1/Steap4/Cxcl10/Ccl5/Ccl2/Lcn2/Cx3cl1/Pdgfb/Cxcl9/Nfkbie/Kcnj14/Kcna7/Icam1
GO:0007252,I-kappaB phosphorylation,5,0.792080156102093,1.5174809245948,0.0198438946950655,0.18946841921179,0.169281155033897,"tags=60%, list=9%, signal=55%",Tlr2/Cx3cl1/Saa3
GO:0045064,T-helper 2 cell differentiation,4,0.826480031638867,1.4990720484961,0.0197951273532669,0.18946841921179,0.169281155033897,"tags=75%, list=12%, signal=67%",Bcl3/Nlrp3/Irf1
GO:0032689,negative regulation of interferon-gamma production,4,0.825221238938053,1.49678884638546,0.0203488372093023,0.189614164904863,0.169411371981751,"tags=100%, list=18%, signal=83%",Zc3h12a/Pglyrp3/Cd274/Nod2
GO:0032621,interleukin-18 production,4,0.825221238938053,1.49678884638546,0.0203488372093023,0.189614164904863,0.169411371981751,"tags=100%, list=18%, signal=83%",Gbp5/Tlr2/Nlrp3/Nod2
GO:0048525,negative regulation of viral process,22,0.573176386566237,1.50179262204352,0.0203346748570218,0.189614164904863,0.169411371981751,"tags=59%, list=25%, signal=45%",Ccl5/Ifitm1/Slpi/Ptx3/Cd74/Oasl2/Ciita/Ch25h/Rsad2/Isg15/Parp10/Trim21/Plscr1
GO:0001916,positive regulation of T cell mediated cytotoxicity,12,0.65751912449315,1.54124915266514,0.0203409090909091,0.189614164904863,0.169411371981751,"tags=58%, list=16%, signal=50%",H2-M2/H2-Q10/H2-Q1/Il23a/H2-Q6/H2-Q4/H2-Q7
GO:0060536,cartilage morphogenesis,3,-0.843093922651934,-1.62514321556134,0.0202020202020202,0.189614164904863,0.169411371981751,"tags=100%, list=16%, signal=84%",Stc1/Mef2c
GO:0007017,microtubule-based process,27,-0.33821335048551,-1.56148563966788,0.0201005025125628,0.189614164904863,0.169411371981751,"tags=93%, list=51%, signal=46%",Plk2/Spdl1/Agrn/Ninl/Parp3/Spire1/Brsk1/Slc9a3r1/Ttll4/Arhgef2/Pard6g/Trak1/Axin1/Uvrag/Mark2/Lyst/Clasp1/Kifap3/Tacc2/Kif21a/Gpsm1/Met/Sybu/Ccdc13/Armc2
GO:0061307,cardiac neural crest cell differentiation involved in heart development,3,-0.843093922651934,-1.62514321556134,0.0202020202020202,0.189614164904863,0.169411371981751,"tags=100%, list=16%, signal=84%",Ednra/Hes1
GO:0003143,embryonic heart tube morphogenesis,3,-0.843093922651934,-1.62514321556134,0.0202020202020202,0.189614164904863,0.169411371981751,"tags=100%, list=16%, signal=84%",Hes1/Mef2c
GO:0001914,regulation of T cell mediated cytotoxicity,12,0.65751912449315,1.54124915266514,0.0203409090909091,0.189614164904863,0.169411371981751,"tags=58%, list=16%, signal=50%",H2-M2/H2-Q10/H2-Q1/Il23a/H2-Q6/H2-Q4/H2-Q7
GO:0045088,regulation of innate immune response,39,0.514196972936444,1.4523309090944,0.020634275259199,0.19176119807549,0.171329645520591,"tags=54%, list=31%, signal=39%",Gbp5/C3/Tlr2/Tnfaip3/Lbp/Parp14/Irf1/Cd74/Ifi203/Ereg/Nod2/Ifi205/Zbp1/Isg15/Trim21/Plscr1/Mndal/Parp9/Ikbke/Ifi204/Igtp
GO:0055001,muscle cell development,9,-0.554975018740707,-1.73186809513657,0.0207119741100324,0.191971355780486,0.171517411583079,"tags=78%, list=24%, signal=60%",Camk2d/Smyd3/Met/Tbx18/Ednra/Hes1/Mef2c
GO:0043491,protein kinase B signaling,15,0.627572240125511,1.5384646436892,0.0209232813018931,0.193415478347738,0.172807667432639,"tags=33%, list=9%, signal=31%",Ccl5/Ccl2/Cx3cl1/Chil1/Csf3
GO:0042092,type 2 immune response,8,0.711640384494298,1.52839965083669,0.0216183574879227,0.199312105411139,0.178076027427667,"tags=75%, list=20%, signal=61%",Bcl3/Nlrp3/Irf1/Cd74/Nod2/Rsad2
